VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-06-01 08:00:23,2016-06-01 08:22:07,1,4.6,0.0,0.0,1,N,-74.0131530762,40.7078094482,1,18.5,0.0,0.5,4.0,0.0,0.3,23.3
1,2016-06-01 08:00:23,2016-06-01 08:31:32,1,2.7,-73.9538497925,40.7795944214,1,N,-73.9829788208,40.7616996765,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3
1,2016-06-01 08:00:23,2016-06-01 08:03:14,1,0.3,-74.0050201416,40.7414283752,1,N,-74.0002288818,40.7389564514,1,4.0,0.0,0.5,0.95,0.0,0.3,5.75
1,2016-06-01 08:00:23,2016-06-01 08:11:34,1,1.1,-73.978767395,40.7726554871,1,N,-73.9938735962,40.7688789368,1,8.5,0.0,0.5,1.25,0.0,0.3,10.55
2,2016-06-01 08:00:23,2016-06-01 08:17:41,1,2.16,-73.9478988647,40.7835083008,1,N,-73.9712295532,40.7642211914,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96
2,2016-06-01 08:00:23,2016-06-01 08:16:05,1,2.06,-73.9588928223,40.7836761475,1,N,-73.9775543213,40.7582206726,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76
1,2016-06-01 08:00:24,2016-06-01 08:20:41,1,3.3,-73.9855957031,40.7530555725,1,N,-73.9694595337,40.7951583862,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
1,2016-06-01 08:00:24,2016-06-01 08:14:40,1,1.8,-73.9771575928,40.7747421265,1,N,-73.9565429688,40.7812156677,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8
1,2016-06-01 08:00:24,2016-06-01 08:15:22,2,2.2,-74.0022659302,40.7149085999,1,N,-73.9968795776,40.7398338318,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
1,2016-06-01 08:00:24,2016-06-01 08:11:11,1,2.4,-74.0028686523,40.7445068359,1,N,-74.0133972168,40.715713501,1,10.5,0.0,0.5,2.25,0.0,0.3,13.55
2,2016-06-01 08:00:24,2016-06-01 08:10:48,6,1.53,-73.9730529785,40.7565689087,1,N,-73.9815597534,40.7684288025,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
2,2016-06-01 08:00:24,2016-06-01 08:24:42,1,2.26,-73.9638519287,40.7711791992,1,N,-73.9644622803,40.7702903748,1,16.0,0.0,0.5,5.04,0.0,0.3,21.84
2,2016-06-01 08:00:24,2016-06-01 08:15:05,1,3.22,-73.9988708496,40.7610816956,1,N,-74.0101318359,40.7209281921,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56
1,2016-06-01 08:03:40,2016-06-01 08:58:39,1,9.4,-73.8635025024,40.7694969177,1,N,-73.9910049438,40.7504501343,1,38.0,0.0,0.5,8.85,5.54,0.3,53.19
2,2016-06-01 08:03:40,2016-06-01 08:34:16,2,8.36,-73.9462509155,40.8068084717,1,N,-73.9848556519,40.7153816223,2,27.0,0.0,0.5,0.0,0.0,0.3,27.8
